© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Nervous System Development and Function	morphology	Morphology of nervous system	7.00E-07	 	 	 	 	CX3CR1,LGMN,ERBB4,SLC12A7,TNFRSF1A,PPARA,LHX6,DPYSL4,TMEM176B,FOS,PORCN,SNCA,HDC,TYROBP,GHR,SORL1,RGS2,FOXA2,FES,TLR2,LRG1,S1PR1,Ptprd,MME,SEMA5B,LILRB3,IFT122,ATP1B2,Nrg1,SLC1A2,IGF1,EPB41L3,AHR,CXCR2,VCAN,FST,BAX,GNAT1,ARHGEF9,MAOB,SLC17A8,UNC13B,JUN,ACHE,ENTPD1,CXCL12,EI24,SLC26A4,LGALS1,WNT5A,SULF2,GM2A,GRID1,MEGF8,LEPR,EPB41L1,TREM2,S100A4,EPHB1,KLF4,FGFRL1,CX3CL1,VIM,TKT,BTG2,AKAP12,PPP1R3C,DUSP1,STX1B,NTRK2,LAMB2,FA2H,KEL,CLSTN3,RELN,CCR2,SLC2A3,MBP,STIM2,SMPD3,PAK1,NR4A1,PLAUR,EGR1,PLAT,SFXN3,LIFR,GFAP,NHLRC1,PROK2,CEBPB,TGIF1,COQ8A,EPM2A,FRZB,NR6A1,RARB,IFT57,Ccl2,Mt1,GALNS,SALL4,DPYSL5,NFKBIA,LRP8,LMNA,TRIP6,BRINP1,PROM1,IL1RN,SLC33A1,SS18L1,C5AR1,ASCL1,CAT,CPT1C,RGN,HSD11B1,NGF,Cdkn1c,CTSD,CD86,ESR1,DHCR7,PGAP1,ARSA,HSD17B2,EGFR,IL1B,FLNA,LIF,EPS8L2,SPI1,NYAP1,ANXA1,ALPL,PPP1R15A,ABCD2,CYBB,FOXO3,THRB,CLCF1,TTR,DAB1,FGF1,ITGA3,SHC2,ATRN,UPP1,HSF2,LDLR,SHISA2,GRIA2,Ank2,ASPA,MAPT,SLC4A5,TRAF4,MIF,CASP4,SCN1B,DYNC2LI1,Spg20,ADAMTS4,GDF15,RP1,CP,ITGA6,SEMA3B,MFGE8,MYH10,IGFBP1,MMUT,NOS2,NGFR,AGAP2,NLRP3,NAMPT,CTNNBIP1,PRKAA2,SCN2A,EGR2,CHRNA4,ATXN1,GLDN	185	
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of monocytes	7.04E-07	 	-1.308	 	-1.087	Ccl2,CLEC4E,NLRP12,CX3CR1,CSF3R,SELL,JAK3,ITGB2,SELE,NFKBIA,F630028O10Rik,CX3CL1,LDLR,BIK,MAPT,ZFP36,FES,CCR2,TRPM4,Ccl7,MPO,Mbl1,LCN2,CLEC4A,NOS2,PRTN3,SELP,SLFN12L,CLU,LGALS3,Ly6a (includes others),FAS,ICAM1,CLCF1	34	
Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Development and Function, Hepatic System Disease, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of hepatobiliary system	7.07E-07	 	 	 	 	ADA,PKHD1,KRT8,ENKUR,Mt1,TNFRSF1A,NCF1,PPARA,TNFRSF9,CYP2E1,GLA,LMNA,RELB,ABCD3,RGN,F11,SCP2,TLR2,ESR1,AEBP1,EGFR,ABCB10,LIF,SPI1,ABCG2,AHR,RASSF1,STAT6,STAT5B,XYLT2,JUN,EI24,CCR1,SOCS3,WNT5A,SLC20A1,ABCB4,LDLR,DUSP1,MIF,CTBS,CCR2,CP,FDFT1,MYH10,GATA1,EPOR,KRT18,PCTP,GSTZ1,MMUT,NGFR,SLC22A1,CYP1A2,SLC13A5,LGALS3,MTHFD2	57	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	cell proliferation	Cell proliferation of T lymphocytes	7.39E-07	 	0.391	 	-0.110	TNFRSF1A,SELL,JAK3,FCER1G,TNFRSF9,ITGB2,BIRC3,ARHGDIB,JUND,TYROBP,RGS2,TLR2,LAPTM5,TNFRSF21,TARM1,Cd24a,MAS1,SAMSN1,NFKB2,AHR,Serpina3g (includes others),STAT6,Slfn1,STAT5B,FAS,BTN1A1,ITGAM,CXCL12,LGALS1,SOCS3,ZBTB16,IL6R,LEPR,WT1,FKBP1B,KLF4,EPHB1,LCP1,CBX2,DUSP1,GCNT1,STAT5A,ARHGDIA,NT5E,CCR2,STAT4,MBP,NR4A1,CLEC4D,EGR1,MMP19,DUSP5,RIPK3,CEBPB,RORC,RRAS,DUSP10,Ccl2,LMO1,GADD45B,NFKBIA,C5AR1,RELB,MAP3K8,ANO6,CD86,ESR1,BACH2,CHST3,EHD3,FABP4,IL1B,SPI1,ACKR4,PIM1,PAWR,HAVCR2,ANXA1,FOXO3,F2RL1,PIK3R1,IL15RA,RAC2,CCDC88B,TSC22D3,Clec2d (includes others),EHD4,SPN,TNFSF14,CSF2RB,ICOSLG/LOC102723996,Irgm1,NOS2,TNFAIP3,EGR2,HPX,Ly6a (includes others),ICAM1,SUCNR1	99	
Inflammatory Response	inflammation	Inflammation of secretory structure	7.52E-07	 	0.151	 	0.778	JUN,ANXA7,TK1,KRT8,F2RL1,LGALS1,TNFRSF1A,SELL,VSIR,ITGB2,CCL3L3,IRAK3,SLC33A1,RELB,NFKBIZ,RIDA,CTSD,CD86,TLR2,MME,CD79B,MFGE8,PIM1,IGF1,CLEC4A,NOS2,RIPK3,ICAM1,FOXO3,JUNB	30	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG	7.95E-07	 	0.439	 	0.168	Ccl2,RSAD2,Mt1,FCGR1A,TNFRSF1A,JAK3,GADD45B,FCER1G,ITGB2,TNFRSF9,NFKBIA,ATF3,SPIB,DAPP1,MAP3K8,TYROBP,CD86,TLR2,ESR1,BACH2,CXCL10,FPR2,TNFRSF21,Mbl1,FCRLA,SAMSN1,NFKB2,Pvr,SELP,CABIN1,BATF,STAT6,CD207,CLEC4E,TNFAIP8L2,CCR1,BCL3,SDC1,CD83,LDLR,BLNK,CCR2,Cmah,TRIP10,CSF2RB,CLEC4D,ICOSLG/LOC102723996,CLEC4A,NOS2,CEBPB,LGALS3,CHRNA4	52	
Endocrine System Disorders, Metabolic Disease, Organismal Injury and Abnormalities	insulin resistance	Insulin resistance	7.97E-07	 	0.557	 	1.120	Ccl2,GCKR,TNFRSF1A,PPARA,AQP7,COL5A3,NFKBIA,Mup1 (includes others),LMNA,LPIN1,PNPLA2,GHR,CPT1C,HSD11B1,TLR2,ESR1,DGAT2,ADRA1B,CTF1,IL1B,FABP4,LCN2,OSMR,STAT6,ACACB,STEAP2,CYBB,FGF1,F2RL1,ADM2,FASN,PIK3R1,LEPR,CIDEC,MRTFA,LDLR,PPP1R3C,Akr1b7,MIF,STEAP4,CD5L,PNLIPRP1,SREBF1,EGR1,PRLR,AGAP2,NLRP3,SLC2A4,PRKAA2,SLC35D3	50	
Cell-To-Cell Signaling and Interaction	binding	Binding of tumor cell lines	8.00E-07	 	0.555	 	0.064	Ccl2,CXCL12,ITGAM,SPN,GDF15,ITGA3,CXCL10,ITGA6,IL6R,ANXA2,EGR1,CXCL2,CAMP,EPHB1,SDC1,SAA1,VCAN,P2RY2,LGALS3,ICAM1,SERPING1,Saa3,CLEC7A	23	
Lipid Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of eicosanoid	9.01E-07	Increased	3.007	 	2.192	Ccl2,F2RL1,ALOX5AP,ERBB4,TNFRSF1A,FGR,FCER1G,CCL3L3,CAMP,LEPR,NFKBIA,ALOX5,LDLR,MAP3K8,STAT5A,VWF,MIF,CYP1B1,IL1B,CD14,ANXA1,GGT5,NOS2,LTB4R,CEBPB,ACACB,CXCL3,STAT5B,FAS,CLEC7A	30	
Cell Death and Survival	apoptosis	Apoptosis of lymphatic system cells	9.17E-07	 	0.384	 	0.706	ADA,Ccl2,Mt1,TNFRSF1A,SALL4,NQO2,UBD,JAK3,PPARA,TNFRSF9,GADD45B,NFKBIA,ATF3,SPIB,FOS,STING1,C5AR1,NGF,CD9,TLR2,S1PR1,TNFRSF21,Cd24a,SPI1,PAWR,LCN2,NFKB2,AHR,STAT6,BAX,STAT5B,FAS,FOXO3,IKBKE,JUN,ACHE,TNFAIP8L2,WNT5A,IL6R,BCL3,PIK3R1,IL15RA,RAC2,WT1,CHI3L1,TSC22D3,IER3,STAT5A,DCN,BLNK,CASP4,SPN,ADAM8,SGPL1,NR4A1,BMF,ICOSLG/LOC102723996,CD79B,EGR1,LECT2,PERP,Irgm1,NOS2,DUSP5,RIPK3,ORMDL3,RORC,DNMT3B	68	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of osteoclasts	9.28E-07	Increased	2.471	 	2.177	JUN,NLRP12,GGT1,SOCS3,TNFRSF1A,F13A1,CCL3L3,JDP2,ALOX5,FOS,LDLR,IL1RN,Clec2d (includes others),TNFRSF11A,CYP1B1,EGFR,SLC40A1,IL1B,FLNA,MFGE8,KCNN4,NFKB2,AHR,CYP1A2,EGR2,CXCL3,ICAM1	27	
Connective Tissue Development and Function, Tissue Morphology	quantity	Quantity of connective tissue cells	9.38E-07	 	0.736	 	0.489	Ccl2,MMP2,GGT1,ATF3,FOS,IL1RN,HDC,C5AR1,TYROBP,FGL1,FOSB,HSD11B1,TNFRSF11A,CD9,TLR2,ESR1,S1PR1,EGFR,MOGAT2,LIF,IGF1,NPR3,NFKB2,AHR,JUNB,ITGAM,HCK,GRID1,F13A1,WT1,KLF4,IRAK3,MRTFA,GPR55,TSC22D3,PER1,Clec2d (includes others),DCN,NT5E,LRRK1,CCR2,SLC40A1,CLCN7,NR4A1,CAPN1,MFGE8,GPNMB,EGR1,PDK4,GATA1,NOS2,EGR2,NFE2,Ly6a (includes others),RARB,DNMT3B	56	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	transmigration	Transmigration of leukocytes	1.00E-06	Increased	3.213	 	2.380	Ccl2,ITGAM,CXCL12,F2RL1,CCR1,SELL,ITGB2,CCL3L3,RAC2,AQP3,LDLR,DCN,FERMT3,MIF,TLR2,CCR2,GDF15,IL1B,MYO1F,CXCL2,CXCR2,MYLK,ELANE,ICAM1,CYBB	25	
Hematological System Development and Function, Tissue Development	homeostasis	Homeostasis of blood	1.01E-06	 	 	 	 	ITGAM,ABCB4,SLC23A1,LBP,PDK4,Sult1d1,UPP1,CYP2E1,CIDEC,RHAG,NPR3,ALPL,NOS2,MMUT,GPX3,SELP,ABCD3,GHR,ARHGDIA,SLC26A6,SLC4A5,SLC4A1,TTR	23	
Cellular Movement	influx	Influx of myeloid cells	1.06E-06	 	1.843	 	1.587	Ccl2,CCR2,CX3CR1,IL1B,TNFRSF1A,MPO,PLAUR,PLAT,ITGB2,LCN2,IRAK3,FCGR2A,ANXA1,CXCR2,SERPINA1,MARCO,CYBB,TLR2	18	
Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	hepatic injury	Hepatic injury	1.06E-06	Increased	2.043	 	1.875	Ccl2,KRT8,TNFRSF1A,NCF1,PPARA,CYP2E1,ARRB2,ALOX5,SAA1,IL1RN,JUND,MAP3K8,RGN,NT5E,TLR2,CCR2,GCLC,STAT4,CTF1,CXCL10,EGR1,HMOX1,KRT18,NLRP3,CXCR2,STAT6,SERPINE1,FAS	28	
Neurological Disease	neurological disorder	Progressive neurological disorder	1.06E-06	 	-0.342	 	-0.106	HMGCR,FASN,SREBF2,ATF3,SNCA,LDLR,SQLE,MVK,MAPT,MIF,CXADR,DHCR7,IL1B,MBP,SREBF1,CD14,PAK1,IGFBP2,EPS8L2,SLC1A2,HMOX1,NGFR,DHCR24,TM7SF2,CYP51A1,MCAM,FAS,MAOB	28	
Organismal Injury and Abnormalities, Tissue Morphology	area	Area of lesion	1.08E-06	 	 	 	 	PON1,Ccl2,CCR2,ENTPD1,ABCG5,ECSCR,ACAT2,DDR1,PPARA,EGR1,CES1,ABCG8,ACE,CX3CL1,OSMR,PCSK9,LDLR,ARG2,ACAT1,CXCL3	20	
Organismal Development	morphology	Morphology of head	1.09E-06	 	 	 	 	KCNJ2,CX3CR1,GGT1,MMP2,ERBB4,SLC12A7,TNFRSF1A,LAMA3,LHX6,TMEM98,TMEM176B,FOS,PORCN,SNCA,HDC,SNAI2,GHR,RGS2,FOXA2,FES,NFKBIZ,TNFRSF11A,CYP1B1,SEMA5B,LILRB3,IFT122,SOX5,ATP1B2,Nrg1,SLC1A2,TECTA,IGF1,NPR3,TCTN3,NFKB2,AHR,COL5A2,STAT6,FST,BAX,GNAT1,SLC17A8,PLTP,MSRB3,JUN,ACHE,ENTPD1,CXCL12,CLEC4E,EI24,SLC26A4,LGALS1,WNT5A,SULF2,GM2A,GRID1,LEPR,EPB41L1,WT1,S100A4,AQP3,ROR1,EPHB1,KLF4,FGFRL1,SPRY4,VIM,TKT,AREG,BTG2,AKAP12,PPP1R3C,BCAR3,DCN,NTRK2,LAMB2,LRRK1,FA2H,CLSTN3,RELN,CCR2,RENBP,SLC2A3,SMPD3,PLAUR,EGR1,PLAT,SFXN3,GFAP,RIPK3,PROK2,CEBPB,ARL13B,TGIF1,CYP51A1,COQ8A,NPHP1,EPM2A,ALDH1A3,PDGFA,IGSF1,RARB,IFT57,Ccl2,TK1,Mt1,ALOX5AP,GALNS,SALL4,LRP8,LMNA,CMKLR1,BRINP1,PROM1,IL1RN,SLC33A1,SS18L1,C5AR1,PLS1,ASCL1,CAT,ABCC6,RGN,HSD11B1,Cdkn1c,CTSD,ESR1,DHCR7,PGAP1,ARSA,KATNB1,INSIG1,HSD17B2,EGFR,FLNA,LIF,EPS8L2,SPI1,NYAP1,CYP26B1,ANXA1,ACVR1B,ALPL,PPP1R15A,ABCD2,FOXO3,THRB,DAB1,FGF1,ITGA3,DDR1,UPP1,PIK3R1,HSF2,LDLR,GPX4,SHISA2,GRIA2,Ank2,ASPA,MAPT,SLC4A5,MIF,DYNC2LI1,Cmah,ADAMTS4,G6PD,CLCN7,RP1,CP,ITGA6,SEMA3B,MFGE8,MYH10,KCNN4,IGFBP1,NOS2,MMUT,PRLR,NGFR,CTNNBIP1,SCN2A,EGR2,CHRNA4,DMRT2,ICAM1,ATXN1,FOXQ1,DNMT3B,PYGO1	190	
Cellular Function and Maintenance	function	Function of dendritic cells	1.13E-06	 	 	 	 	Ccl2,ADA,SELL,JAK3,CARD9,GADD45B,IRAK3,CX3CL1,CMKLR1,ARHGEF5,CAPG,CHI3L1,TYROBP,MARCO,TRAF4,TLR2,CCR2,TRPM4,CSF2RB,FPR2,GPNMB,SAMSN1,AHR,RGS1,LGALS3,CLEC7A,SUCNR1	27	
Inflammatory Disease, Respiratory Disease	airway hyperresponsiveness	Airway hyperresponsiveness	1.16E-06	 	1.121	 	0.800	Ccl2,CXCL12,F2RL1,CX3CR1,CD300LF,SOCS3,TNFRSF1A,IL6R,TNFRSF9,IL15RA,CCL3L3,ALOX5,CMKLR1,C5AR1,CAT,IGFBP3,CD86,STAT4,SPON2,IL1B,TNFSF14,SLPI,FPR2,SPI1,PLAT,GGT5,LTB4R,STAT6,LGALS3,ORMDL3,RORC	31	
Cardiovascular System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of heart	1.17E-06	 	 	 	 	ADA,Hspa1b,MMP2,ERBB4,TNFRSF1A,NCF1,PPARA,ARRB2,GLA,BIRC3,ATF3,TRPM2,JUND,HDC,GHR,RGS2,F11,FES,TLR2,HBEGF,ADRA1B,IFT122,Nrg1,LCN2,IGF1,AHR,CLU,GSN,ARG2,ACACB,ADM,JUN,CXCL12,CLEC4E,LY6E,IL6R,FASN,MEGF8,LEPR,WT1,FKBP1B,KLF4,FGFRL1,TKT,AKAP12,PPP1R3C,DUSP1,IER3,HOPX,CPT2,NT5E,LMO2,CAPN1,S100A6,IGFBP2,PLAT,TERT,SLC2A4,TSC22D1,CYP51A1,EPM2A,PDGFA,CSRP3,P2RY6,NR6A1,RARB,Ccl2,DUSP8,APLNR,DES,LIMS2,PRKAG2,NFKBIA,LMNA,CMKLR1,IL1RN,PNPLA2,CTSD,PTGIR,ESR1,EGFR,CTF1,IL1B,FLNA,HSPB8,LIF,ADAM15,PIM1,GPX3,CABIN1,RASSF1,SERPINE1,CDK5RAP1,CYBB,FOXO3,IKBKE,HCK,COX7A1,ACE,PIK3R1,SDC1,DNAH11,MRTFA,RHBDF1,LDLR,ACSL1,HSD17B7,Tpm1,PNKD,MMP15,TAL1,CXADR,SLC4A1,SLC39A8,G6PD,Cyp2j5,ABCA1,MYH10,KCNN4,HMOX1,EPOR,HEYL,NOS2,TNFAIP3,NLRP3,TIMP1,GUCY2C	127	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of macrophages	1.25E-06	Increased	2.457	 	1.801	Ccl2,ITGAM,CXCL12,S100A8,HCK,F2RL1,TNFAIP8L2,KLF6,CXCL10,FLNA,MAS1,CCL3L3,RAC2,TREM2,SDC1,NOS2,TYROBP,MYLK,MYO9B,CXCL3,SERPINE1,TLR2	22	
Cardiovascular System Development and Function	morphology	Morphology of cardiovascular system	1.27E-06	 	 	 	 	ADA,LOX,Hspa1b,MMP2,ERBB4,TNFRSF1A,NCF1,PPARA,PLA2G7,ARRB2,GLA,BIRC3,ATF3,TRPM2,JUND,HDC,GHR,RGS2,F11,FOXA2,FES,TLR2,HBEGF,ADRA1B,IFT122,Nrg1,LCN2,IGF1,AHR,CLU,GSN,ARG2,P2RX4,ACACB,ADM,FAS,JUN,CXCL12,CLEC4E,LY6E,IL6R,FASN,MEGF8,LEPR,WT1,FKBP1B,KLF4,FGFRL1,VIM,TKT,AKAP12,PPP1R3C,DUSP1,IER3,ARHGDIA,HOPX,CPT2,BCAM,NT5E,CAPN1,LMO2,S100A6,IGFBP2,PLAT,TERT,GFAP,LTB4R,SLC2A4,TSC22D1,CYP51A1,EPM2A,PDGFA,CSRP3,P2RY6,NR6A1,RARB,PLPP3,Ccl2,DUSP8,APLNR,DES,LIMS2,PRKAG2,NFKBIA,LMNA,CMKLR1,IL1RN,PNPLA2,CTSD,PTGIR,ESR1,ASB4,EGFR,CTF1,EHD3,IL1B,CXCL10,FLNA,HSPB8,LIF,ADAM15,PIM1,GPX3,SELP,CABIN1,RASSF1,SERPINE1,CDK5RAP1,CYBB,KLF1,FOXO3,IKBKE,HCK,F2RL1,COX7A1,ITGA3,DDR1,ACE,PIK3R1,SDC1,DNAH11,MRTFA,RHBDF1,LDLR,ACSL1,HSD17B7,Tpm1,MAPT,EHD4,PNKD,MMP15,TAL1,CXADR,SLC4A1,SLC39A8,G6PD,HPGD,Cyp2j5,ABCA1,MYH10,KCNN4,HMOX1,EPOR,HEYL,NOS2,NGFR,TNFAIP3,NLRP3,TIMP1,GUCY2C	150	
Organismal Injury and Abnormalities, Tissue Morphology	quantity	Quantity of lesion	1.28E-06	 	0.345	 	0.540	DUSP10,LOX,CX3CR1,Mt1,NEDD9,NQO2,DES,PPARA,HTRA1,SLC7A2,ATF3,C5AR1,SNAI2,Cdkn1c,Saa3,CYP1B1,S1PR1,SLC30A3,EGFR,Neat1,ANXA2,RBM38,PCSK9,CDCP1,RASSF1,STAT6,SERPINE1,TNFRSF12A,THRB,CTSZ,JUN,FGF1,HPSE,SULF2,PIK3R1,ROR1,PLET1,CX3CL1,MGMT,BTG2,LDLR,P2RY2,IL18BP,GSTP1,NT5E,TAL1,CCR2,HPGD,KLF6,MFGE8,GATA1,GSTZ1,Irgm1,TIMP1,RARB,DNMT3B	56	
Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Development and Function, Hepatic System Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of liver	1.34E-06	 	 	 	 	ADA,PKHD1,KRT8,ENKUR,Mt1,TNFRSF1A,PPARA,TNFRSF9,CYP2E1,GLA,LMNA,ABCD3,RGN,F11,SCP2,TLR2,ESR1,AEBP1,EGFR,ABCB10,LIF,SPI1,ABCG2,AHR,RASSF1,STAT6,STAT5B,JUN,EI24,CCR1,SOCS3,WNT5A,SLC20A1,ABCB4,LDLR,DUSP1,MIF,CTBS,CCR2,CP,FDFT1,MYH10,GATA1,EPOR,KRT18,PCTP,GSTZ1,MMUT,NGFR,SLC22A1,CYP1A2,SLC13A5,LGALS3,MTHFD2	54	
Digestive System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of intestine	1.45E-06	 	 	 	 	ADA,KRT8,TNFRSF1A,SALL4,NCF1,JAK3,SELL,SLC22A4,CDHR2,TNFRSF9,ANGPTL4,SPIB,PLS1,MAP3K8,Cdkn1c,FOXA2,TNFRSF11A,CTSD,TLR2,AEBP1,EGFR,FPR2,CLDN15,IGF1,NFKB2,ALPL,AHR,RNF186,CXCR2,STAT6,SPINK1,SOAT2,NLRP6,CYBB,PGLYRP2,MGLL,JUN,CD207,F2RL1,ITGA3,WNT5A,BCL3,KLF4,IRAK3,AREG,CBX2,GCNT1,TFF3,BCAM,TFF1,TNFSF14,ITGA6,VIPR1,RGS1,RIPK3,PDGFA,RORC	57	
Hematological System Development and Function, Tissue Morphology	abnormal quantity	Abnormal quantity of leukocytes	1.53E-06	 	 	 	 	ITGAM,NEDD9,SELL,JAK3,BCL3,SELE,BIRC3,ARHGDIB,IL1RN,ARHGDIA,FES,CD86,ESR1,CXCL10,ACKR4,SPI1,EGR1,Mbl1,GATA1,HMOX1,FCGR2A,NFKB2,NOS2,SELP,STAT5B	25	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of phagocytes	1.53E-06	 	1.557	 	1.005	JUN,ACHE,ITGAM,PLSCR1,SOCS3,FCGR1A,TNFRSF1A,CSF2RA,CSF3R,JAK3,FASN,BCL3,KLF4,ALOX5,SPIB,FOS,TRPM2,CHI3L1,IL1RN,RELB,STAT5A,TYROBP,CEBPE,TAL1,TLR2,ESR1,IL1B,LILRB3,CSF2RB,LIF,SPI1,EGR1,GATA1,IL3RA,NFKB2,PIR,AHR,CEBPB,BATF,CDKN2B,LGALS3,TIMP1,STAT5B,CYBB	44	
Inflammatory Response	function	Function of immune system	1.55E-06	 	 	 	 	CD300LF,FCGR1A,TNFRSF1A,RASGRP4,TRIB3,SELL,JAK3,FCER1G,S100A4,SLC7A2,ALOX5,LILRB4,GCNT1,RELB,CD300A,STAT5A,NFKBIZ,CSF2RB,PAK1,ICOSLG/LOC102723996,CLEC4D,PIM1,LCN2,CLEC4A,FCGR2A,NOS2,AHR,DUSP5,GSN,CXCR2,STAT5B,ICAM1,PI16,CYBB	34	
Organ Morphology	enlargement	Enlargement of airspace	1.67E-06	 	-1.342	 	-0.997	SERPINB1,ADA,SOD3,WNT5A,SLPI,CLEC5A,FOXA2	7	
Skeletal and Muscular System Development and Function	function	Function of muscle	1.73E-06	 	1.534	 	0.678	ADA,DUSP8,APLNR,DMPK,MMP2,NCF1,DES,PPARA,LIMS2,ARRB2,BIRC3,LMNA,TRPM2,PNPLA2,SORL1,HSD11B1,Cdkn1c,TNNT1,TLR2,ESR1,HBEGF,SELENON,ADRA1B,HSPB8,Nrg1,IGFBP5,IGF1,CLU,ADM,FST,CDK5RAP1,STAT5B,ENTPD1,F2RL1,COX7A1,ITGA3,SULF2,PIK3R1,FKBP1B,ESRRG,MRTFA,LDLR,DUSP1,Pde4d,IER3,STAT5A,Tpm1,IGFBP3,KEL,SLC4A1,CREG1,NR4A1,MYH10,PLAT,HMOX1,Crip2,HEYL,EPOR,HLA-A,NOS2,SLC2A4,CEBPB,PRKAA2,CSRP3,ICAM1	65	
Cancer, Organismal Injury and Abnormalities	frequency	Frequency of tumor	1.78E-06	 	-0.517	 	0.115	ERBB4,TNFRSF1A,LAMA3,NEDD9,PPARA,PKM,ALDOA,PLA2G7,DPYSL4,ATF3,FOS,CXCR6,HP,WIF1,HCAR2,TNFRSF11A,CYP1B1,TLR2,S1PR1,Neat1,LCN2,IGF1,TES,EPB41L3,AHR,CLU,VCAN,STAT6,CDKN2B,ADM,BAX,STAT5B,FAS,PLTP,CTSZ,UNC13B,JUN,ACHE,CXCL12,Gm12854/S100a11,LGALS1,SOCS3,IL6R,LEPR,WT1,S100A4,KLF4,CX3CL1,MGMT,BTG2,TPI1,IER3,P2RY2,RNF43,DCN,IGFBP3,GSTP1,NT5E,RELN,S100A8,KLF6,PAK1,S100A9,BMF,S100A6,EGR1,Ngp,TERT,PLK3,DUSP5,CEBPB,ARL13B,MAPK13,RORC,PFKP,TK1,Mt1,NQO2,GADD45B,NFKBIA,PROM1,SLC33A1,MAP3K8,ANO6,VWF,Cdkn1c,ESR1,GPI,BACH2,PDCD4,EGFR,AEBP1,IL1B,FABP4,FPR2,PTPRT,ANXA2,SPI1,PIM1,ACVR1B,RBM38,CDCP1,RASSF1,MMP8,ALDOC,SERPINE1,NLRP6,FOXO3,THRB,ANXA7,ITGA3,MMP12,ABCB4,BCL3,PIK3R1,RAC2,CCN4,TRAF4,MIF,TAL1,GLDC,TFF1,CBR1,MFGE8,HMOX1,PERP,NOS2,PRLR,NAMPT,LGALS3,Ly6a (includes others),DNMT3B	132	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of non-esterified fatty acid	1.79E-06	 	-1.000	 	-0.874	LPIN1,FABP4,PNPLA2,GHR,ERFE,ACACB,SSTR2,CIDEC,ANGPTL4,MGLL	10	
Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Tissue Development	accumulation	Accumulation of macrophages	1.83E-06	 	0.835	 	0.658	Ccl2,CCR2,ITGAM,ENTPD1,HCK,EGFR,CX3CR1,TNFAIP8L2,CCR1,S100A9,PLAT,LAMA5,CX3CL1,OSMR,LDLR,C5AR1,TIMP1,FAS,MIF,NT5E	20	
