category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Immunological Disease	delayed hypersensitive reaction	Delayed hypersensitive reaction	3.7e-11	Increased	2.979	2.359	Ccl2, CLEC4E, F2RL1, NLRP12, CCR1, NCF1, SELL, ITGB2, TNFRSF9, FCER1G, SELE, NFKBIA, SDC1, IDO2, CD83, TSC22D3, GCNT1, RELB, DCN, MIF, IL1B, CXCL10, TRIP10, SOX5, CLEC4D, LAPTM5, ANXA1, NOS2, AHR, SELP, MMP19, NLRP3, CEBPB, ICAM1	34
Cancer, Organismal Injury and Abnormalities	tumorigenesis	Tumorigenesis of tissue	4.57e-11	0	0.05	0.38	MMP2, TNFRSF1A, LAMA3, PPARA, PKM, ALDOA, PLA2G7, TNFRSF9, ARRB2, DPYSL4, ATF3, FOS, Ifi27l2a/Ifi27l2b, STING1, HP, SNAI2, Saa3, TLR2, PCDH12, Neat1, LCN2, IGF1, TES, EPB41L3, AHR, CLU, CXCR2, VCAN, STAT6, CDKN2B, TNFRSF12A, BAX, FAS, CTSZ, JUN, ACHE, MAPKAPK3, Gm12854/S100a11, LGALS1, SULF2, SOCS3, HMGCR, IL6R, S100A4, SPRY4, MGMT, CHI3L1, AKAP12, TPI1, IER3, STAT5A, RNF43, DCN, IGFBP3, NTRK2, GSTP1, RELN, CCR2, S100A8, KLF6, PAK1, Scd2, S100A9, S100A6, EGR1, Ngp, TERT, PLK3, DUSP5, RIPK3, CEBPB, Cyp2b13/Cyp2b9, MAPK13, CA3, PFKP, Ccl2, TK1, Mt1, SALL4, CSF3R, GADD45B, NFKBIA, ANGPTL4, SAA1, SLC33A1, ASCL1, PNPLA2, VWF, Cdkn1c, ESR1, GPI, PDCD4, EGFR, AEBP1, FABP4, FPR2, HSPB8, PTPRT, ANXA2, IGFBP5, SPI1, PIM1, ANXA1, LTF, RASSF1, MMP8, ALDOC, SSTR2, CYBB, FOXO3, THRB, SERPIND1, TTR, ANXA7, MMP12, ABCB4, BCL3, PIK3R1, RAC2, PLET1, SMYD2, TRAF4, MIF, LTBP4, SPN, TFF1, CBR1, SLPI, ITGA6, MFGE8, HMOX1, PERP, BCKDHA, FAM110D, NOS2, PRLR, TNFAIP3, AGAP2, AKR1B10, NLRP3, LGALS3, Ly6a (includes others), COTL1, DNMT3B	144
Cell-To-Cell Signaling and Interaction, Cellular Function and Maintenance, Hematological System Development and Function, Inflammatory Response	phagocytosis	Phagocytosis by macrophages	5.07e-11	Increased	2.434	1.54	ITGAM, HCK, FCGR1A, CSF2RA, PGLYRP1, SIRPB1, FGR, ITGB2, FCER1G, LEPR, CAMP, TREM2, SAA1, CAPG, SNCA, TYROBP, RGCC, MARCO, TLR2, CD5L, IL1B, SREBF1, CD14, ABCA1, S100A9, PLAUR, MFGE8, SPI1, Mbl1, LECT2, FCGR2A, ANXA1, LTB4R, GSN, CEBPB, CLEC6A, LGALS3, SERPINE1, FAS	39
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymphocytes	5.39e-11	0	-1.016	-2.109	ADA, CX3CR1, NLRP12, LGMN, TNFRSF1A, FCGR1A, NEDD9, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, ARHGDIB, DAPP1, FOS, LILRB4, STING1, SNAI2, TYROBP, GHR, ZFP36, FES, TNFRSF11A, TLR2, S1PR1, LILRB3, C17orf99, TNFRSF21, ANG, Cd24a, Mbl1, IGF1, LCN2, SLC25A21, SAMSN1, NFKB2, AHR, CXCR2, BATF, STAT6, CDKN2B, Slfn1, BAX, STAT5B, FAS, CXCL12, ITGAM, CLEC4E, LGALS1, CCR1, SOCS3, PGLYRP1, KLKB1, NPC2, CAMP, LEPR, KLF4, IRAK3, CHI3L1, GCNT1, STAT5A, ARHGDIA, APBB1IP, CEBPE, GSTP1, NT5E, CCR2, STAT4, NR4A1, CLEC4D, BMF, CD79B, EGR1, HLA-A, MMP19, DUSP5, RIPK3, CEBPB, ORMDL3, RORC, RARB, DUSP10, Ccl2, Mt1, CD300LF, NQO2, GADD45B, NFKBIA, SPIB, CMKLR1, SAA1, SLC33A1, C5AR1, RELB, MAP3K8, RGCC, FOSB, NGF, CTSD, CD86, PTGIR, ESR1, Ctla2a/Ctla2b, BACH2, MPZL2, CHST3, CXCL10, LIF, SPI1, ACKR4, PAWR, PIM1, HAVCR2, FCGR2A, Pvr, SELP, SELPLG, FOXO3, F2RL1, TNFAIP8L2, GNA12, DDR1, BCL3, IL15RA, SELE, PIK3R1, GCNT2, RAC2, MYO1G, SDC1, CD83, LDLR, Ank2, BIK, MAPT, MZB1, CTSE, IL17RB, BLNK, MIF, TAL1, SPN, CD5L, SGPL1, CSF2RB, ICOSLG/LOC102723996, ITGA6, SERPINB6, LECT2, GATA1, CLEC4A, BLK, TNFRSF10A, NOS2, NGFR, ATP13A5, TNFAIP3, RGS1, NLRP3, LGALS3, EGR2, TNIP1, Ly6a (includes others), HPX, ICAM1	165
Cellular Function and Maintenance	homeostasis	Cellular homeostasis	6.27e-11	0	0.607	-0.313	RSAD2, GGT1, TNFRSF1A, RASGRP4, JAK3, TNFRSF9, Mup1 (includes others), SREBF2, LILRB4, SNCA, SNAI2, SORL1, NFKBIZ, TNFRSF11A, CCDC3, S1PR1, ADRA1B, LILRB3, ATP1A3, AMPD3, Gm5524, PIEZO2, AHR, Gk, CXCR2, CLEC6A, P2RX4, SPINK1, BAX, FAS, RNF152, AQP4, SNX10, SERPINB1, TNS2, EI24, HKDC1, LEPR, CCL3L3, ELF3, TREM2, CBX2, KEL, RELN, TRPM4, SLC40A1, Ccl7, LMO2, CD79B, EGR1, NHLRC1, LTB4R, RIPK3, CEBPB, EPB42, FZD8, CSRP3, RORC, Ccl2, TK1, LMO1, Mt1, DMPK, KCNB1, CARD9, SPIB, SLC33A1, ATG3, RELB, CIDEA, CTSD, MPZL2, CHST3, FABP4, CXCL10, RIMS4, ERFE, FPR2, SCN8A, HAVCR2, CYBB, FOXO3, MGLL, CLEC7A, F2RL1, FGF1, BCL3, IL15RA, SLC31A1, ACSL1, CCN4, MAPT, BIK, TAL1, SLC4A1, SLC39A8, CREG1, SPN, CSF2RB, ANK1, ICOSLG/LOC102723996, PDK4, EPOR, Irgm1, PRKAA2, ACLY, ICAM1, SUCNR1, ADA, KRT8, LOX, CLDN7, PPARA, COL5A3, FGR, FCER1G, ITGB2, TMEM98, ALOX5, TRPM2, STING1, HDC, TYROBP, GHR, PID1, Igtp, FOXA2, SLC11A1, TLR2, WWP1, SOX5, Cd24a, IGF1, NUPR1, BATF, STAT6, ACACB, STAT5B, JUNB, JUN, ENTPD1, CXCL12, CLEC4E, SLC26A4, SOCS3, ZBTB16, IL6R, CLDN4, FKBP1B, KLF4, IRAK3, VIM, PPP1R3C, STAT5A, GPR39, P2RY2, IGFBP3, CCR2, STAT4, STIM2, PAK1, CAPN1, NR4A1, BMF, HLA-A, MMP19, SLC2A4, GPR12, EPM2A, ULK2, GCKR, DCXR, GADD45B, NFKBIA, C5AR1, RGCC, HSD11B1, Cdkn1c, NGF, CD86, GPI, IL18R1, IL1B, GRINA, IGFBP5, LIF, SPI1, PIM1, ABCG2, CYP26B1, FCGR2A, ANXA1, TREH, CXCL3, NLRP6, CDK5RAP1, PGLYRP2, TTR, ANXA7, HCK, CACNB4, SLC4A9, PIK3R1, RAC2, CLDN2, CD83, LDLR, TSC22D3, Ank2, MIF, NUCB2, PPP1R3G, TNFSF14, VIPR1, HADH, HMOX1, NOS2, NGFR, TNFAIP3, AGAP2, SERPINA1, SLC13A5, EGR2, CHRNA4, HPX	225
Cellular Function and Maintenance, Hematological System Development and Function, Inflammatory Response	engulfment	Engulfment by macrophages	6.79e-11	Increased	2.246	1.354	ITGAM, HCK, FCGR1A, CSF2RA, PGLYRP1, SIRPB1, FGR, ITGB2, FCER1G, LEPR, CAMP, TREM2, SAA1, CAPG, SNCA, TYROBP, RGCC, TREML2, MARCO, TLR2, CD5L, IL1B, SREBF1, CD14, ABCA1, S100A9, PLAUR, MFGE8, SPI1, Mbl1, LECT2, FCGR2A, ANXA1, LTB4R, GSN, CEBPB, CLEC6A, LGALS3, SERPINE1, FAS	40
Cell-To-Cell Signaling and Interaction, Cellular Function and Maintenance, Inflammatory Response	phagocytosis	Phagocytosis of cells	6.9e-11	Increased	3.42	2.34	FCGR1A, CSF3R, FGR, ITGB2, FCER1G, SAA1, SNCA, ATG3, RELB, TYROBP, RGCC, SLC11A1, TLR2, ABCA7, IL1B, CD14, FLNA, CXCL10, SPI1, Mbl1, LCN2, FCGR2A, ANXA1, GSN, CLEC6A, ELANE, SERPINE1, FAS, ITGAM, HCK, WNT5A, CSF2RA, PGLYRP1, SIRPB1, CAMP, LEPR, RAC2, TREM2, MYO1G, CAPG, LDLR, CEBPE, TREML2, MARCO, CCR2, CD5L, SREBF1, CSF2RB, PLAUR, S100A9, ANXA5, ABCA1, ICOSLG/LOC102723996, MFGE8, LECT2, HMOX1, LTB4R, CEBPB, LGALS3, ICAM1	60
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of membrane lipid derivative	7.52e-11	0	1.112	0.452	TLCD3B, NSDHL, Plscr2, AJUBA, GLA, LPIN1, SAA1, LSS, SNCA, CAT, FGL1, CYP39A1, NGF, SCP2, CYP1B1, ARSA, INSIG1, PON1, FABP4, B3GALT1, ABCG5, SPI1, IGF1, PCSK9, SOAT2, BAX, AGPAT4, FAS, CLN6, PLTP, LPCAT4, LPCAT1, PLSCR1, SOCS3, WNT5A, GM2A, HMGCR, FASN, APOF, PIK3R1, LEPR, LDLR, HSD17B7, ASPA, GDPD1, FA2H, ELOVL1, CERKL, SREBF1, SMPD3, SGPL1, ABCA1, DBI, FDFT1, ABCG8, CES1, PITPNM1, PCTP, SMPDL3B, DHCR24, TM7SF2, CYP51A1, PLPP3	63
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	morphology	Morphology of lymphoid tissue	7.59e-11	0	0	0	ADA, KRT8, ENKUR, NLRP12, LGMN, TNFRSF1A, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, ADD2, ARHGDIB, ALOX5, FOS, HP, SNAI2, TYROBP, GHR, F11, ZFP36, TNFRSF11A, NFKBIZ, TNFRSF21, Cd24a, IGF1, LCN2, NFKB2, AHR, CXCR2, BATF, CDKN2B, SPINK1, BAX, STAT5B, FAS, CD207, CXCL12, SOCS3, WT1, IRAK3, LCP1, ITGA2B, MGMT, CBX2, GCNT1, STAT5A, ARHGDIA, DCN, CEBPE, MARCO, NT5E, CCR2, NR4A1, CLEC4D, BMF, IGFBP2, EGR1, DUOXA1, RIPK3, CEBPB, EPB42, CYP51A1, NFE2, PROCR, RORC, RARB, TK1, Mt1, NFKBIA, ANGPTL4, LMNA, SPIB, IL1RN, RELB, Cdkn1c, CTSD, CD86, PTGIR, ESR1, BACH2, FPR2, DUOXA2, SPI1, PAWR, PIM1, ALPL, RBM38, SELP, PPP1R15A, FOXO3, HCK, TNFAIP8L2, GNA12, ABCB4, BCL3, SELE, PIK3R1, RHBDF1, TSC22D3, BIK, BLNK, MIF, SLC4A1, SPN, CD5L, TRIP10, TNFSF14, CSF2RB, ABCA1, ICOSLG/LOC102723996, MFGE8, KCNN4, GATA1, HMOX1, CLEC4A, PLEK2, GSTZ1, TNFRSF10A, NOS2, CYP1A2, TNFAIP3, RGS1, NLRP3, TNIP1, HPX	126
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	chronic arthropathy	Chronic arthropathy	7.62e-11	0	0.322	0.23	Ccl2, CXCL12, Ccl6, GLIPR2, CCR1, PGLYRP1, CSF3R, IL6R, NCF1, CCL20, FOS, SAA1, IL1RN, C5AR1, MS4A6A, Ms4a6c, IL18BP, Saa3, CCR2, Ccl7, IL1B, CSF2RB, CLEC4D, TNFRSF21, CXCL2, CTSG, IGF1, CLEC4A, Ms4a4c (includes others), HLA-A, SLFN12L, CXCR2, Slfn2, ELANE, Slfn1	35
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of neutrophils	7.62e-11	Increased	3.594	2.778	Ccl2, ITGAM, HCK, NLRP12, CCR1, TNFRSF1A, SELL, PIK3R5, FGR, ITGB2, SELE, CCL3L3, GCNT1, Pde4d, CEBPE, TLR2, S100A8, GDF15, IL1B, ITGA6, S100A9, MYO1F, CXCL2, ANXA1, NOS2, SELP, NLRP3, CXCR2, SELPLG, MAPK13, MYLK, LGALS3, CXCL3, ICAM1, CYBB	35
Cell-To-Cell Signaling and Interaction	binding	Binding of myeloid cells	8.27e-11	Increased	2.264	1.527	ITGAM, CXCL12, HCK, LGALS1, CSF3R, SELL, FGR, PKM, ITGB2, LBP, SELE, CAMP, RAC2, TREM2, MARCO, FERMT3, MIF, Cmah, GDF15, SPON2, IL1B, FLNA, LILRB3, PAK1, ITGA6, SPI1, CXCL2, ANXA1, Irgm1, NOS2, SELP, CXCR2, SELPLG, STAT6, LGALS3, SERPINE1, CXCL3, ICAM1, CYBB	39
Immunological Disease	abnormal morphology	Abnormal morphology of immune system	9.98e-11	0	0	0	Ccl2, FTL, Mt1, TNFRSF1A, CSF3R, JAK3, FGR, FCER1G, TNFRSF9, ITGB2, NFKBIA, Mug1/Mug2, SPIB, CMKLR1, LILRB4, TRPM2, IL1RN, HDC, RELB, F11, NFKBIZ, CTSD, CD86, TLR2, ARSA, BACH2, LILRB3, LIF, SPI1, PSTPIP1, NFKB2, AHR, Serpina3g (includes others), BATF, STAT6, CDKN2B, ABCD2, BAX, STAT5B, FAS, FOXO3, CD207, ITGAM, HCK, TNFAIP8L2, HPSE, CCR1, NPC2, BCL3, IRAK3, LCP1, CHI3L1, LDLR, GCNT1, STAT5A, MXD1, CEBPE, BLNK, CTBS, CCR2, Ccl7, CD5L, SGPL1, CP, TNFSF14, BMF, CD79B, EGR1, CLEC4A, HLA-A, NOS2, NGFR, RIPK3, CEBPB, LGALS3, TNIP1, Ly6a (includes others), ICAM1, RORC	79
Cellular Function and Maintenance	function	Function of lymphatic system cells	1.2e-10	0	1.453	1.2	Ccl2, STX11, TAGLN2, CX3CR1, Mt1, LGMN, MMP2, NEDD9, UBD, JAK3, SELL, GADD45B, FCER1G, TNFRSF9, ARRB2, BIRC3, ARHGDIB, ATF3, RELB, TYROBP, CD86, TLR2, ESR1, IL18R1, S1PR1, IL1B, CXCL10, LILRB3, FPR2, TNFRSF21, ACKR4, PAWR, PSTPIP1, HAVCR2, SAMSN1, SELP, CXCR2, STAT6, BAX, STAT5B, GPR84, TNFAIP8L2, LGALS1, NPC2, BCL3, PIK3R1, SELE, IL15RA, LEPR, RGS16, MYO1G, IDO2, ARHGEF5, CHI3L1, DUSP1, STAT5A, ARHGDIA, BIK, CCR2, Cmah, SPN, STAT4, TRIP10, TNFSF14, CSF2RB, ICOSLG/LOC102723996, KCNN4, CCRL2, NOS2, HLA-A, TSC22D1, CEBPB, ICAM1, RORC	74
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	recruitment	Recruitment of antigen presenting cells	1.2e-10	Increased	4.055	3.434	Ccl2, ITGAM, CXCL12, HCK, CLEC4E, CX3CR1, CCR1, MMP12, FGR, ITGB2, CCL3L3, LEPR, NFKBIA, S100A4, ALOX5, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, STAT5A, FUT8, FOXA2, TLR2, S1PR1, CCR2, HBEGF, CD5L, IL1B, CXCL10, FPR2, CLEC5A, ANXA1, LTB4R, SLFN12L, CXCR2, ICAM1	37
Organismal Injury and Abnormalities	damage	Damage of genitourinary system	1.28e-10	0	1.309	1.028	Ccl2, ANXA7, HCK, F2RL1, CCR1, PTPRB, FCGR1A, FGR, PRKAG2, PKM, LEPR, CLDN2, ALOX5, AREG, DUSP1, C5AR1, ARHGDIA, RGCC, TLR2, CCR2, HBEGF, HSD17B2, EGFR, STAT4, SREBF1, PLAT, Mbl1, C6, LCN2, FCGR2A, GSTZ1, MMUT, NOS2, AHR, SELP, SLC22A1, NLRP3, RIPK3, ADM, CFP, BAX, HPX, FAS, ICAM1, CYBB	45
Organismal Injury and Abnormalities, Respiratory Disease	damage	Damage of lung	1.28e-10	0	1.324	1.152	Ccl2, SERPINB1, ENTPD1, ITGAM, F2RL1, Ccl6, HPSE, CCR1, TNFRSF1A, MMP12, IL6R, NCF1, ITGB2, ACE, SELE, CYP2E1, CCL3L3, SAA1, C5AR1, MARCO, NT5E, TLR2, S1PR1, CCR2, CD5L, CXCL10, SLPI, PLAUR, ANXA2, EGR1, HMOX1, OLR1, SOD3, NOS2, LTB4R, AHR, SELP, NLRP3, CXCR2, MAPK13, MMP8, ELANE, SERPINE1, FAS, MVP	45
Cell-To-Cell Signaling and Interaction	response	Response of myeloid leukocytes	1.3e-10	Increased	2.035	1.464	ITGAM, HCK, FGR, ITGB2, FCER1G, TREM2, SAA1, SNCA, RELB, TYROBP, CD9, TLR2, CCR2, CD5L, IL1B, CXCL10, CD14, LILRB3, CSF2RB, S100A9, PLAUR, CTSG, LCN2, ANXA1, CLEC6A, ELANE, CXCL3, SERPINE1, FAS, ICAM1	30
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of antigen presenting cells	1.81e-10	Increased	3.093	2.703	Ccl2, CX3CR1, SHPK, FCGR1A, FCER1G, CARD9, SLC7A2, ATF3, TRPM2, SNCA, IL1RN, RELB, TYROBP, FOXA2, SLC11A1, TLR2, EGFR, SPON2, IL1B, CD14, CXCL10, Cd24a, ANXA2, SBNO2, LCN2, FCGR2A, HAVCR2, STAT6, CYBB, MAOB, HCK, FGF1, F2RL1, TNFAIP8L2, Orm1 (includes others), LBP, ACE, CAMP, TREM2, CEBPE, MAPT, MIF, CCR2, TRPM4, CLCN7, STAT4, NR4A1, CLEC4D, SLPI, PLAT, PDK4, NOS2, HLA-A, CEBPB, LGALS3, SUCNR1	56
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	rheumatoid arthritis	Rheumatoid arthritis	1.99e-10	0	0.322	0.257	Ccl2, CXCL12, Ccl6, GLIPR2, CCR1, PGLYRP1, CSF3R, IL6R, CCL20, FOS, SAA1, IL1RN, C5AR1, MS4A6A, Ms4a6c, IL18BP, Saa3, CCR2, Ccl7, IL1B, CSF2RB, CLEC4D, TNFRSF21, CXCL2, CTSG, IGF1, CLEC4A, Ms4a4c (includes others), HLA-A, SLFN12L, CXCR2, Slfn2, ELANE, Slfn1	34
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of lipid	2.68e-10	0	-0.136	-0.701	APOA4, PLSCR1, ABCB4, NPC2, APOF, SLC51B, LBP, SAA1, LSS, ACSL1, LDLR, GHR, ANO6, MFSD2B, SCP2, ABCC3, SLC22A8, ABCA7, SLC36A1, RELN, AEBP1, S100A8, FABP4, SREBF1, MPO, ABCG5, ABCA1, S100A9, ABCG8, CES1, KCNN4, CPT1B, TMEM30A, VNN1, CROT, CLU, SLC13A5, Stra6l, PLTP	39
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of mononuclear leukocytes	2.98e-10	0	1.42	0.857	ADA, Ccl2, NCF1, JAK3, VSIR, FCER1G, TNFRSF9, ITGB2, NFKBIA, ALOX5, DAPP1, BRINP1, TRPM2, SAA1, STING1, SLC33A1, RELB, MAP3K8, TYROBP, ANO6, FGL1, NFKBIZ, CD86, TLR2, Saa3, IL18R1, BACH2, EGFR, IL1B, LILRB3, LAPTM5, TARM1, Cd24a, HAVCR2, FCGR2A, ANXA1, SAMSN1, NFKB2, AHR, SELP, BAX, STAT5B, FAS, FOXO3, PGLYRP2, ITGAM, TNFAIP8L2, LGALS1, IL6R, IFNLR1, BCL3, CAMP, IL15RA, IRAK3, CCDC88B, GFI1B, DCT, LDLR, DUSP1, STAT5A, BLNK, MIF, CCR2, SPN, STAT4, MBP, TNFSF14, CSF2RB, NR4A1, ICOSLG/LOC102723996, CD79B, HLA-A, LTB4R, MMP19, TNFAIP3, NLRP3, CHRNA4, ICAM1, SUCNR1	79
Cell Death and Survival, Organismal Injury and Abnormalities	necrosis	Necrosis of epithelial tissue	2.98e-10	0	1.969	2.352	KRT8, MMP2, TNFRSF1A, MAD2L2, NQO2, PPARA, SEL1L, GADD45B, CYP2E1, ARRB2, NFKBIA, BIRC3, ATF3, FOS, SAA1, IL1RN, PLS1, RELB, MAP3K8, RGN, TLR2, ESR1, S1PR1, EGFR, IL1B, TNFRSF21, IGFBP5, LCN2, IGF1, AHR, RNF186, DECR1, SERPINE1, CXCL3, BAX, FAS, FOXO3, TNFAIP8, JUN, MAPKAPK3, IL6R, SLC20A1, FASN, CAMP, PIK3R1, IRAK3, MRTFA, MLKL, LDLR, TFF3, DCN, IGFBP3, MIF, CASP4, GSDMD, CCR2, Clca3a1/Clca3a2, CEBPD, PAK1, BMF, ITGA6, EGR1, HMOX1, EPOR, KRT18, CBLC, IGFBP1, TNFRSF10A, NOS2, NGFR, TNFAIP3, AGAP2, NLRP3, RIPK3, CEBPB, CIT, PRKAA2, TNIP1, GUCY2C	79
Molecular Transport	secretion	Secretion of molecule	3.19e-10	0	0.345	-0.235	KRT8, ACAT2, PPARA, FGR, AQP7, FCER1G, SEL1L, LIN7C, ALOX5, SNCA, HDC, CD300A, GHR, HILPDA, HSD11B1, CIDEA, NGF, SCP2, TLR2, PTGIR, ESR1, IL18R1, FABP4, IL1B, ABCG5, CLEC5A, RAB3D, FCGR2A, RHBDF2, ANXA1, Gk, STAT6, CLEC6A, ACACB, SLC26A6, ATP4A, FST, FOXO3, SNX10, MGLL, BTN1A1, TMEM184A, ENTPD1, CLEC4E, SLC26A4, STXBP2, LY6E, SOCS3, CACNB4, HMGCR, ADM2, ABCB4, CACNA1B, LDLR, GPR39, P2RY2, STX1B, NTRK2, PNKD, LTBP4, KCNC3, S100A8, KCNA2, SMPD3, ABCA1, S100A9, ABCG8, CES1, KCNN4, PCTP, LIN7A, RIPK3, CYP51A1, ACLY, CHRNA4	75
Cellular Function and Maintenance	endocytosis	Endocytosis by eukaryotic cells	3.44e-10	Increased	3.004	1.933	FCGR1A, FGR, FCER1G, ITGB2, SAA1, SNCA, RELB, TYROBP, RGCC, TLR2, ABCA7, IL1B, CD14, FLNA, CXCL10, SPI1, Mbl1, LCN2, FCGR2A, ANXA1, GSN, CLEC6A, SERPINE1, FAS, ITGAM, HCK, PLSCR1, WNT5A, CSF2RA, PGLYRP1, SIRPB1, CAMP, LEPR, TREM2, MYO1G, VIM, CAPG, TREML2, MARCO, CCR2, CD5L, SREBF1, CSF2RB, PLAUR, S100A9, ANXA5, ABCA1, ICOSLG/LOC102723996, MFGE8, EGR1, LECT2, HMOX1, LTB4R, CEBPB, LGALS3, ICAM1	56
Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	tauopathy	Tauopathy	3.83e-10	0	0	0	Cd52, HPSE, MMP12, CCL3L3, TREM2, SREBF2, ATF3, LILRB4, CAPG, CD63, CST7, MAPT, CD9, CXADR, TLR2, IL1B, CD14, PAK1, GPNMB, HMOX1, LYZ, LGALS3, CYBB, CLEC7A, CTSZ	25
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of lymphoid organ	4.39e-10	0	0	0	KRT8, ENKUR, NLRP12, LGMN, TNFRSF1A, SELL, JAK3, FCER1G, TNFRSF9, ITGB2, ADD2, ALOX5, ARHGDIB, FOS, HP, SNAI2, GHR, F11, ZFP36, TNFRSF11A, NFKBIZ, Cd24a, NFKB2, AHR, CXCR2, CDKN2B, SPINK1, BAX, STAT5B, FAS, SOCS3, WT1, ITGA2B, GCNT1, STAT5A, ARHGDIA, DCN, CEBPE, MARCO, CCR2, CLEC4D, BMF, IGFBP2, RIPK3, CEBPB, NFE2, PROCR, RORC, RARB, TK1, Mt1, NFKBIA, ANGPTL4, LMNA, SPIB, IL1RN, RELB, Cdkn1c, CTSD, CD86, ESR1, PTGIR, FPR2, SPI1, PAWR, ALPL, RBM38, SELP, PPP1R15A, FOXO3, HCK, TNFAIP8L2, ABCB4, BCL3, SELE, RHBDF1, TSC22D3, BIK, BLNK, MIF, SLC4A1, CD5L, TNFSF14, CSF2RB, ABCA1, ICOSLG/LOC102723996, MFGE8, KCNN4, GATA1, HMOX1, CLEC4A, PLEK2, TNFRSF10A, NOS2, TNFAIP3, NLRP3, TNIP1, HPX	98
Organismal Injury and Abnormalities	blood clot	Blood clot	4.77e-10	Increased	2.249	1.836	ITGAM, MMP2, LGALS1, TNFRSF1A, KLKB1, SELL, ITGB2, F13A1, ARRB2, LRP8, DMTN, LDLR, ADAMTS13, F11, VWF, NT5E, CTSD, TLR2, PTGIR, P3H2, CCR2, HBEGF, GDF15, FLNA, F2RL2, LILRB3, CAPN1, ANXA2, PLAT, CTSG, HMOX1, FCGR2A, NOS2, GPX3, AHR, SELP, CXCR2, PRKAA2, SELPLG, ACACB, LGALS3, SERPINE1, PROCR, GP1BB, SPTB, SERPIND1	46
Cell Death and Survival	apoptosis	Apoptosis of phagocytes	5.08e-10	0	1.029	0.911	ITGAM, TNFRSF1A, FCER1G, ITGB2, TREM2, BIRC3, ATF3, FOS, LDLR, STAT5A, TREM1, MIF, CASP4, TLR2, CD5L, IL1B, ADAM8, MEFV, SLPI, PLAT, LCN2, HAVCR2, ANXA1, PCTP, NOS2, AHR, TNFAIP3, NAMPT, NLRP3, RIPK3, GSN, CEBPB, STAT6, SERPINA1, MMP8, LGALS3, BAX, FAS, IL36G, CYBB, FOXO3	41
Cancer, Organismal Injury and Abnormalities	carcinoma	Carcinoma	5.13e-10	0	0.258	0.6	MMP2, TNFRSF1A, LAMA3, PPARA, TNFRSF9, PKM, ALDOA, ARRB2, ATF3, Ifi27l2a/Ifi27l2b, FOS, STING1, SNAI2, Saa3, TLR2, PCDH12, Neat1, LCN2, IGF1, TES, EPB41L3, AHR, CLU, CXCR2, VCAN, STAT6, CDKN2B, TNFRSF12A, BAX, FAS, CTSZ, JUN, MAPKAPK3, Gm12854/S100a11, LGALS1, SOCS3, SULF2, HMGCR, S100A4, MGMT, CHI3L1, TPI1, IER3, RNF43, IGFBP3, NTRK2, CCR2, S100A8, KLF6, PAK1, Scd2, S100A9, S100A6, EGR1, PLK3, RIPK3, CEBPB, Cyp2b13/Cyp2b9, CA3, PFKP, Ccl2, TK1, Mt1, CSF3R, GADD45B, NFKBIA, SAA1, PNPLA2, VWF, Cdkn1c, ESR1, GPI, EGFR, HSPB8, IGFBP5, ANXA1, LTF, RASSF1, ALDOC, SSTR2, FOXO3, THRB, TTR, ANXA7, MMP12, ABCB4, PIK3R1, PLET1, SMYD2, MIF, LTBP4, CBR1, TFF1, ITGA6, SLPI, MFGE8, FAM110D, PRLR, NOS2, TNFAIP3, AGAP2, AKR1B10, NLRP3, LGALS3, Ly6a (includes others), COTL1	106
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	recruitment	Recruitment of macrophages	5.17e-10	Increased	3.68	3.109	Ccl2, ITGAM, CXCL12, HCK, CLEC4E, CX3CR1, CCR1, MMP12, FGR, ITGB2, NFKBIA, S100A4, ALOX5, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, STAT5A, FUT8, TLR2, S1PR1, CCR2, HBEGF, CD5L, IL1B, CXCL10, CLEC5A, ANXA1, LTB4R, SLFN12L, CXCR2, ICAM1	33
