analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	HDAC5	-0.117	transcription regulator	0	-0.333	0	0.114	-0.674	0.000518	EGR2, HMGCR, HMGCS2, IGFBP1, JUN, MBP, MMD2, PPARA, SLC2A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	HDAC4	0.001	transcription regulator	0	-0.426	0	-0.023	-0.356	0.000519	ATF3, EGR2, FOS, FST, HMGCR, IGFBP1, JUN, MBP, MMD2, MYH10, SLC2A4, TERT
ndr_vs_wt_all - 2020-11-20 05:39 PM	IGF1	-1.376	growth factor	0	1.827	0	0.109	1.504	0.000519	Ccl2, CTSD, CYP17A1, GHR, HSD3B1, IGF1, IGFBP3, IL1B, INSL3, MBP, PRLR, SLC2A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	LHX1	0.159	transcription regulator	0	0.068	bias	0.258	-1.107	0.00054	CLDN2, CYB561, Cyp2j5, DAB1, EMB, FOXA2, FZD8, GCNT1, GGT1, HAO2, Keg1, Ly6a (includes others), NAPSA, S100G, SERPINA6, SHISA2, SLC47A1, SPINK1, Sult1d1, UGT2B28, ZKSCAN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ACSS2	0.53	enzyme	0	0	bias	0.258	-0.73	0.000546	DGAT2, DHCR24, FABP2, FASN, HMGCR, LSS, PPARA, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	AGER	0.543	transmembrane receptor	Activated	2.621	0	0.158	2.159	0.000605	Ccl2, CCL3L3, CXCL3, EGR1, FAS, IL1B, MMP2, S100A8, S100A9, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	KLF1	0.916	transcription regulator	0	1.941	0	0.159	1.495	0.000605	ADD2, Cd24a, DMTN, EPB42, HEMGN, ICAM4, ITGA2B, KCNN4, KEL, SLC22A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXP3	0.19	transcription regulator	0	0	0	0	0	0.000624	CAPG, CCL3L3, CCR1, CCR2, Ctla2a/Ctla2b, CXCR6, EGR1, ENTPD1, FOS, Gm4951, HLA-A, IL18RAP, IL6R, JUN, LGALS1, LGALS3, LTB4R, NR4A1, NT5E, PGLYRP1, RORC, SLC16A3, SLC2A3, VIPR1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLA2G2D	0	enzyme	Inhibited	-2.449	0	-0.179	-2.012	0.000629	Ccl2, CCR2, CD68, IL1B, ITGAM, S100A9
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLA2G2E	0	enzyme	0	-1.633	0	-0.218	-1.098	0.000629	ADAM8, CAMP, IL1B, KRT14, S100A9, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCD1	0.048	transporter	0	0	0	0	0	0.000642	ABCD2, ABCD3, ALOX5, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAFG	0.054	transcription regulator	0	0.447	0	0.201	-0.002	0.000642	ABCC3, GCLC, GSTP1, HMOX1, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAP3K5	0.064	kinase	Activated	2.219	bias	0.258	1.646	0.000642	ACE, BAX, Ccl2, Ccl7, CYBB
ndr_vs_wt_all - 2020-11-20 05:39 PM	UCHL3	-0.068	peptidase	0	0.555	0	0.029	0.491	0.000642	BAX, FABP4, FASN, SLC2A4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	KLF15	-0.008	transcription regulator	0	0.464	0	0.133	0.033	0.000645	ACAT1, Acot1, ACSL1, ATG3, CPT1B, CPT2, DECR1, DGAT2, ESRRG, FASN, PDK4
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP1A2	-3.41	enzyme	0	1.732	0	0.006	1.712	0.000648	CHRNA4, CYP17A1, CYP2B6, Gstm3, Ifi27l2a/Ifi27l2b, IFNLR1, IGFBP2, INSC, MARCO, Mt1, RGS16, SLC46A3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP1B1	1.397	enzyme	0	1.732	0	0.006	1.712	0.000648	CHRNA4, CYP17A1, CYP2B6, Gstm3, Ifi27l2a/Ifi27l2b, IFNLR1, IGFBP2, INSC, MARCO, Mt1, RGS16, SLC46A3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL12 (complex)	0	complex	0	1.644	0	0.188	1.087	0.000692	Ccl2, CCL20, CCR2, Ctla2a/Ctla2b, CXCL10, FAS, IDO2, IL18BP, IL18R1, IL18RAP, ISG20, Ly6a (includes others), Ms4a4c (includes others), NOS2, PLAC8, SELP
ndr_vs_wt_all - 2020-11-20 05:39 PM	HOXC8	0	transcription regulator	0	0.954	0	0	0.954	0.000701	ANKRD1, Ccl2, Ccl7, CXCL10, EMB, IL1R2, Ly6a (includes others), RARB, SLC16A3
ndr_vs_wt_all - 2020-11-20 05:39 PM	ARRB1	0.424	other	0	-1.732	0	-0.023	-1.691	0.000766	Ccl2, EGR1, FABP4, FASN, JUNB, NOS2, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CXCR2	1.973	g-protein coupled receptor	0	0.174	0	0	0.174	0.000766	Ccl2, CCL3L3, CXCL10, CXCL2, CXCL3, FABP4, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FMO3	-0.597	enzyme	0	-0.378	bias	0.258	-1.061	0.000766	ABCG5, ABCG8, ELOVL6, FASN, PDK4, PPARA, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK7	0.369	kinase	0	1.964	0	0.115	1.663	0.000766	CXCL2, CXCL3, IL1B, JUN, STEAP4, TRAF4, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	NFKBIZ	1.075	transcription regulator	Activated	2.566	0	0.167	2.137	0.000766	Ccl2, CCL20, CEBPD, CXCL3, IL36G, LCN2, S100A9
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF4EBP2	-0.052	translation regulator	0	-0.763	0	-0.117	-0.444	0.000769	CEBPB, CEBPD, CYP2A6 (includes others), EGR1, GRIA2, IL1RN, NOS2, PNPLA2
ndr_vs_wt_all - 2020-11-20 05:39 PM	IPMK	-0.169	kinase	Activated	2.777	bias	0.258	2.06	0.000769	CSRP1, FLNA, FOS, FOSB, JUN, JUNB, PER1, TAGLN2
ndr_vs_wt_all - 2020-11-20 05:39 PM	mir-29	0	microrna	0	-0.29	0	-0.236	0.371	0.000769	ADAMTS14, COL5A2, FKBP5, GLDC, IGF1, PDGFA, PIK3R1, Tpm1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GFI1	0.155	transcription regulator	Inhibited	-2.757	0	-0.218	-1.814	0.00077	BCL3, Ccl2, CD53, GUSB, ICAM1, IL1B, IL6R, JUN, Ly6a (includes others), LYZ, MAFF, NFKB2, NFKBIA, PER3, RAPGEF4, RASL11B, RELB, S1PR1, STAT4, TFF3, TNFRSF1A, TNFSF14
ndr_vs_wt_all - 2020-11-20 05:39 PM	Brd4	0.006	kinase	0	1.604	0	0.224	0.764	0.000774	BLNK, CCR2, COL5A2, KLF4, LGALS3, LOX, NFE2, P2RY4, PDGFA, PLAT, Serpina3g (includes others), SLC4A1, SPON2, TIMP1, WFDC2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTPN1	0.369	phosphatase	0	-1.455	0	-0.078	-1.201	0.000804	ADRA1B, Ccl7, CIDEA, CXCL2, CXCL3, DUSP1, MARCO, NFKBIA, NOS2, PIK3R1, TMEM26, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	ANK1	1.641	other	0	0	0	0	0	0.00081	ANK1, RHAG, RHCE/RHD
ndr_vs_wt_all - 2020-11-20 05:39 PM	BRD1	-0.015	other	0	0	0	0	0	0.00081	GATA1, LMO2, TAL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GFRA2	0.227	transmembrane receptor	0	0	0	0	0	0.00081	EGR1, EGR2, FOSB
ndr_vs_wt_all - 2020-11-20 05:39 PM	HP1BP3	-0.062	other	0	0	0	0	0	0.00081	IGF1, IGFBP1, IGFBP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNFRSF1B	0.158	transmembrane receptor	Activated	2.831	0	0.113	2.393	0.000814	ABCC3, CXCL2, FAS, GFAP, ICAM1, JUN, LBP, MBP, MMP2, NOS2, PDGFA, SAA1, SELL, SERPINE1, SOCS3, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK8	-0.246	kinase	Activated	2.681	0	0.081	2.38	0.000837	ACSL4, CAT, Ccl2, CEBPB, DUSP1, EGR1, FOS, Gk, HMOX1, IL1B, JUN, JUND, KLF6, LIF, MIF, TNFAIP3, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	LIPE	0.154	enzyme	0	-1.172	0	0.096	-1.384	0.000869	ACSL1, ANKRD1, AQP4, ATF3, CEBPB, CP, CSRP3, DMPK, EGR1, FABP4, FASN, FKBP5, FOS, INMT, ITGA6, MAPT, NR4A1, PER1, RARB, Scd2, SREBF1, TKT
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATF2	-0.035	transcription regulator	0	0	0	0	0	0.000933	ASNS, ATF3, BCKDHA, DUSP1, DUSP10, DUSP5, DUSP8, ENTPD1, JUN
ndr_vs_wt_all - 2020-11-20 05:39 PM	KDM6A	0.023	enzyme	0	0.426	bias	0.258	-0.344	0.000933	ANKS4B, CDHR2, CYP3A7, IGFALS, IRAK3, RNF186, TM4SF4, TTR, UGT2B10
ndr_vs_wt_all - 2020-11-20 05:39 PM	TERC	0	other	0	0	0	0	0	0.000933	CLU, Cyp2b13/Cyp2b9, EGR1, GPI, HMGCR, MCM10, Ngp, Orm1 (includes others), TERT
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATF7	-0.054	transcription regulator	Activated	2	0	0.086	1.828	0.00097	DUSP1, DUSP10, DUSP5, DUSP8
ndr_vs_wt_all - 2020-11-20 05:39 PM	BICC1	1.378	other	0	0	0	0	0	0.00097	AREG, EGFR, ERBB4, HBEGF
ndr_vs_wt_all - 2020-11-20 05:39 PM	CDK6	-0.248	kinase	0	0	0	0	0	0.00097	FABP4, IL1B, NFKBIZ, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	DES	0.645	other	0	0	0	0	0	0.00097	ACE, DCN, KRT18, KRT8
ndr_vs_wt_all - 2020-11-20 05:39 PM	F2R	0.417	g-protein coupled receptor	0	1.98	bias	0.258	1.469	0.00097	Ccl2, EGR1, FOS, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	NPC1L1	0.901	transporter	Inhibited	-2	0	-0.086	-1.828	0.00097	ABCA1, HMGCR, HMGCS1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPM1B	-0.199	phosphatase	Activated	2	0	0.172	1.656	0.00097	CCL3L3, CEBPD, HBEGF, MARCO
ndr_vs_wt_all - 2020-11-20 05:39 PM	RGCC	1.375	other	0	1.086	bias	0.258	0.572	0.00097	FASN, IL1B, NOS2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RGMB	0.044	other	0	-1.964	bias	-0.258	-1.457	0.00097	CXCL2, CXCL3, LCN2, MLKL
ndr_vs_wt_all - 2020-11-20 05:39 PM	SERCA	0	group	0	-1.964	bias	-0.258	-1.457	0.00097	BTG2, EGR1, JUN, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNC	-0.058	other	0	1	0	0.172	0.656	0.00097	Ccl2, CCL20, EGFR, MBP
ndr_vs_wt_all - 2020-11-20 05:39 PM	SCD	0.664	enzyme	0	-1.82	0	-0.066	-1.608	0.000989	ANGPTL4, Ccl2, CCL3L3, CPT1B, CXCL10, FASN, IL1B, NOS2, Scd2, SREBF1, TMEM26, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	NQO1	0.013	enzyme	0	-0.102	0	0.052	-0.264	0.00101	BAX, BIRC3, C5AR1, Ccl6, CCR1, CCR2, CSF3R, CXCL12, NOS2, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Pka	0	complex	Activated	2.97	0	0.152	2.519	0.00101	CXCL10, DUSP1, FOXA2, HMGCR, LDLR, MBP, NOS2, NR4A1, SPI1, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CX3CL1	1.176	cytokine	Activated	2.168	0	0.052	1.975	0.00102	CD5L, CST7, Ctla2a/Ctla2b, FCRLA, GLA, GPNMB, HMOX1, HPSE, IFI16, IGF1, LYZ, MYLK, OLFM4, PROM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	KLF2	-0.006	transcription regulator	0	-1.423	0	-0.044	-1.279	0.00102	Ccl2, Ccl7, CD86, CX3CR1, CXCL2, FABP4, IL1B, NFKBIA, S1PR1, SELL, UGDH
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRIM24	-0.329	transcription regulator	Inhibited	-2.668	0	-0.183	-1.914	0.00103	BLNK, CSRP1, CXCL10, EMB, FAM110B, FLRT3, GLUL, Gm12854/S100a11, Ifi27l2a/Ifi27l2b, Igtp, Irgm1, ITIH2, LGALS3, Ly6a (includes others), Ms4a4c (includes others), MYH10, OASL, PLAC8, S100G, SHISA5, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SFRP1	-0.026	transmembrane receptor	0	-0.563	0	-0.194	-0.018	0.00106	ACLY, ELOVL6, FASN, NAMPT, SERPINE1, SLC2A4, SREBF1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXO4	-0.006	transcription regulator	0	-1.72	0	-0.073	-1.438	0.00108	ACLY, CAT, ELOVL5, ELOVL7, FABP4, GPX3, ITGAM, ITGB2, NAMPT, Prg4, PRKAA2, PTPRB, SELL, SERPINB1, SOX5
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTGS2	0.872	enzyme	Activated	2.17	0	0.076	1.886	0.00111	ANG, Ccl2, CCL3L3, CD68, CXCL10, CXCL3, CXCR2, DUSP1, FABP4, FOS, IGF1, IL1B, MMP2, NOS2, Pde4d, SELL
ndr_vs_wt_all - 2020-11-20 05:39 PM	DUSP5	0.875	phosphatase	Inhibited	-2.646	0	-0.231	-2.035	0.00112	ALDH1A3, EGR1, FAM83G, SLPI, SRXN1, SSTR2, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAT1A	-0.006	enzyme	0	-0.314	0	-0.095	-0.069	0.00112	CYP2E1, EGR1, FAS, GAMT, KRT18, Mt1, SAA1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MPZ	0.184	other	0	0	0	0	0	0.00112	DERL2, FDFT1, HMGCR, HMGCS1, MVD, PPP1R15A, SQLE
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKD1	-0.001	kinase	Activated	2.62	bias	0.258	1.944	0.00112	Ccl2, CCL3L3, CD86, CXCL10, CXCL2, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	BACH1	0.035	transcription regulator	0	-0.651	bias	-0.258	-0.091	0.00118	CEBPB, DUSP1, HMOX1, IGF1, SLC40A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	BET	0	group	Activated	2.236	bias	0.258	1.659	0.00118	DMTN, KLF1, NFE2, SLC4A1, TAL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	L2HGDH	-0.121	enzyme	Inhibited	-2.236	bias	-0.258	-1.659	0.00118	CCL3L3, Ccl6, CD68, CLEC7A, CYBB
ndr_vs_wt_all - 2020-11-20 05:39 PM	NOX4	-0.109	enzyme	0	1.432	bias	0.258	0.861	0.00118	Ccl2, GCLC, HMOX1, Saa3, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TGIF1	0.662	transcription regulator	Activated	2.236	0	-0.052	2.352	0.00118	CXCL2, CXCL3, IL1B, RARB, SOAT2
ndr_vs_wt_all - 2020-11-20 05:39 PM	VLDLR	-0.04	transporter	0	-1.996	0	-0.143	-1.71	0.00118	ABCA1, DAB1, FOS, SLC38A5, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	TFRC	-0.143	transporter	0	-1.155	0	-0.159	-0.603	0.00121	ATF3, FTL, GGT1, GPX3, GSTT2/GSTT2B, HMOX1, JUN, MMP12, PPP1R15A, SPRR1A, SRXN1, TNFRSF12A
ndr_vs_wt_all - 2020-11-20 05:39 PM	MARK2	0.254	kinase	Activated	2.333	0	0.241	1.61	0.00122	BATF, Ccl7, CXCL2, CXCL3, HDC, IGF1, NFKBIZ, RSAD2, SLCO3A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FAS	-0.749	transmembrane receptor	0	0.467	0	-0.103	0.769	0.00127	Ccl2, CCL3L3, CXCL10, CXCL2, CXCL3, EGR1, EGR2, FAS, ICAM1, IL1B, MIF, NFKBIA, NOS2, SERPINE1, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	THRA	-0.058	ligand-dependent nuclear receptor	0	-1.63	0	-0.01	-1.597	0.00127	ANGPTL4, Ccl2, CXCL10, CXCL2, CXCL3, FOS, FST, HMOX1, IGF1, JUN, LDLR, MBP, RARB, SYT12, TREM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKAA2	-0.662	kinase	Inhibited	-2.793	0	-0.16	-2.127	0.00128	ARHGDIB, CXCL12, CYBB, CYP2B6, FOXO3, GRIA3, ITIH5, KCNA2, Ly6a (includes others), MYLK, NCF1, NCF2, NFKBIA, PARP3, SORL1, TTYH1, VIM, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRF3	0.01	transcription regulator	Activated	2.771	0	0.229	1.779	0.0013	Ccl2, CCL3L3, CCRL2, CD86, CXCL10, FAS, FCGR1A, ICAM1, IFI16, Ifi27l2a/Ifi27l2b, Igtp, IL1B, Irgm1, ISG20, LCN2, Ms4a4c (includes others), OASL, PLAC8, RSAD2, Slfn1, TPST1
ndr_vs_wt_all - 2020-11-20 05:39 PM	BCAP31	-0.014	transporter	0	-0.788	0	-0.196	-0.236	0.00143	Ccl2, CCL3L3, CD9, CXCL10, IL1B, INSIG1, SAA1, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCNC	-0.031	other	0	0.966	0	0.238	0.299	0.00143	CIDEA, CPT2, FABP4, FAS, FASN, PNPLA2, SLC2A4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CD300LF	1.054	other	0	1.414	0	0.134	1.034	0.00143	APOBR, GPI, HK1, IL1B, IL1RN, PCK2, PGM2, SLC2A3
ndr_vs_wt_all - 2020-11-20 05:39 PM	ITGAM	0.9	transmembrane receptor	Activated	2.433	0	0.204	1.937	0.00143	C5AR1, Ccl2, CCL3L3, CXCL10, IL1B, LCN2, TIMP1, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRF7	0.155	transcription regulator	Activated	2.454	bias	0.258	1.476	0.00148	Ccl2, CCRL2, CXCL10, FCGR1A, IFI16, Igtp, Irgm1, ISG20, Ly6a (includes others), Ms4a4c (includes others), OASL, PLAC8, RSAD2, Slfn1, TPST1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CLEC4E	3.34	other	Activated	2.392	bias	0.258	1.774	0.00156	Ccl2, CCL3L3, CXCL2, CXCL3, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ITGA9	-0.01	other	0	1.633	0	0.224	1.085	0.00156	Ccl2, CCL3L3, CXCL12, IL1B, MPO, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	SHARPIN	0.022	other	Inhibited	-2.236	0	-0.129	-1.947	0.00156	CASP4, CXCL10, IL1B, MLKL, RIPK3, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	ARHGAP21	0.003	other	Activated	2.111	bias	0.258	1.254	0.00156	BATF, CXCL10, CXCL2, HDC, IL15RA, ISG20, NFKBIZ, PLAT, SLCO3A1, SLFN12L, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC27A2	-0.247	transporter	Activated	2.651	bias	-0.258	3.501	0.00156	ABCD3, Acaa1b, ACOT1, Acot1, ACSL1, CPT2, DECR1, ELOVL5, ETFDH, FITM1, FITM2
ndr_vs_wt_all - 2020-11-20 05:39 PM	C1QA	0.199	other	0	1.761	0	0.172	1.348	0.00158	C5AR1, Ccl2, CXCL10, LCN2, SERPINA3, TIMP1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	USP19	-0.008	peptidase	0	-1.384	0	0.077	-1.584	0.00158	Ccl2, CES1, CXCL10, FKBP5, FOXO3, IL1B, LCN2
ndr_vs_wt_all - 2020-11-20 05:39 PM	RGS10	0.231	enzyme	0	0	0	0	0	0.0016	CCL3L3, Ccl7, CCR1, CX3CL1, CXCL10, CXCL2, FAS, IL1B, IL1R2, ITGAM, ITGB2, SELP, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	RHO	0	g-protein coupled receptor	0	-1.941	0	0.037	-2.074	0.0016	CACNB2, CEBPB, CEBPD, GNAT1, KCNB1, LAMB2, Mt1, NT5E, PLA2G7, PRPH, S100A6, SERPING1, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	TSC1	-0.198	other	0	-0.867	0	0.004	-0.882	0.00169	BAX, CYP1A2, CYP2E1, EGR2, FASN, FLNA, FOXO3, GLUL, GSR, HMOX1, LDHB, LECT2, OLFM4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FADD	-0.028	other	0	-1.604	0	0.127	-2.079	0.00173	BIRC3, CXCL10, CXCL2, DES, EGR1, FOS, GADD45B, ICAM1, JUN, JUNB, KLF6, LY6E, PIM1, PPP1R15A, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	C5AR1	1.098	g-protein coupled receptor	Activated	2.415	0	0.161	1.867	0.00177	C5AR1, Ccl2, CD86, CXCL2, CXCL3, DCN, FCER1G, FCGR1A, FCGR2A, IGF1, IL1B, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC13A1	0	transporter	0	-1.414	0	-0.028	-1.295	0.0019	ACLY, ANKS4B, APOA4, AQP8, C6, Cyp2b13/Cyp2b9, Cyp3a25 (includes others), ELOVL6, FABP2, IGF1, IGFBP2, Igtp, INMT, INSIG1, MAD2L2, Mt1, MVD, Sult2a2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FCGR2B	-0.018	transmembrane receptor	Activated	2.804	0	0.02	2.748	0.0019	ACOD1, CLEC4E, CXCL10, GPR84, ICAM1, NOS2, SLC2A6, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLK2	0.058	kinase	0	0	0	0.199	-0.562	0.0019	Ccl7, CXCL10, IL15RA, IL1B, MARCO, PLAT, RGCC, RGS1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZNF106	0.007	other	Inhibited	-2.714	0	-0.035	-2.597	0.00191	COL26A1, CXCL10, GPNMB, Ifi27l2a/Ifi27l2b, LGALS1, LGALS3, LYZ, S100A8, SERPINA3, SLC11A1, TNFRSF12A
ndr_vs_wt_all - 2020-11-20 05:39 PM	ELK1	-0.003	transcription regulator	0	1.982	0	0.037	1.909	0.00201	EGR1, EGR2, FOS, JUNB, MYLK
ndr_vs_wt_all - 2020-11-20 05:39 PM	LECT2	-1.764	other	0	-0.762	0	0.052	-0.865	0.00201	Ccl2, CCL3L3, CXCL10, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNNI3	0.311	transporter	Activated	2.236	bias	0.258	1.659	0.00201	Ccl2, CCL3L3, CCR1, CCR2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	OGT	-0.108	enzyme	0	-1.201	0	-0.163	-0.692	0.00201	ACLY, AEBP1, DUOXA1, FOS, GFAP, IGFBP2, JUN, NGFR, RGS16, WIF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ICMT	-0.01	enzyme	0	0	0	0	0	0.00202	AEBP1, Ccl2, CCN5, GNAT1, GNGT2, HBEGF, LMNA, REEP5, SLIT3
ndr_vs_wt_all - 2020-11-20 05:39 PM	MTTP	-0.034	transporter	0	-0.324	0	-0.06	-0.17	0.00202	ABCA1, ABCG5, ABCG8, APOA4, CCL3L3, CIDEC, CXCL3, HMGCR, JUN
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRAF6	0.016	enzyme	Activated	2.942	0	0.194	2.373	0.00202	Ccl2, CCL20, CYBB, EGFR, ICAM1, IL1B, NCF1, NCF2, UBD
ndr_vs_wt_all - 2020-11-20 05:39 PM	CASR	0	g-protein coupled receptor	Activated	2.4	0	0.15	1.711	0.00206	BAX, Clec2d (includes others), CXCL10, EGFR, EGR1, IER3, IGFBP3, IGFBP5, LGALS1, NEDD9, NUPR1, RGCC, S100A8, S100A9, SERPINA1, SERPINB6, SOCS3, TK1, TLR2, WSB1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	AFP	2.284	transporter	0	1.192	bias	0.258	0.679	0.0021	EGR1, EGR2, FOS, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ELK4	0.026	transcription regulator	0	0	0	0	0	0.0021	EGR1, EGR2, JUNB, NR4A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAFF	1.703	transcription regulator	0	1	bias	0.258	0.484	0.0021	ABCC3, GCLC, GSTP1, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	P2RY4	-1.617	g-protein coupled receptor	Activated	2	bias	0.258	1.484	0.0021	ICAM1, MMP8, SELE, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PDE6B	0	enzyme	0	0	0	0	0	0.0021	CAT, FOS, HMOX1, RIPK3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLAUR	1.512	transmembrane receptor	0	0	0	-0.037	0.074	0.0021	C5AR1, Ccl2, JUN, JUNB
ndr_vs_wt_all - 2020-11-20 05:39 PM	PSMB10	0.106	peptidase	0	1	0	0	1	0.0021	NFKB2, NFKBIA, NOS2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	SRD5A1	0.25	enzyme	0	0	0	0	0	0.0021	CLDN1, CLDN2, LCN2, Mt1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Ccl2	2.218	cytokine	0	1.72	0	0.143	1.256	0.00212	Ccl2, CCL3L3, Ccl7, CD14, CXCL10, CXCL2, CXCL3, FABP4, IGF1, IL1B, KLF4, SLC2A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	JAK2	0.104	kinase	0	1.863	0	0.168	1.418	0.00212	AKAP12, BLNK, Ccl2, CDC25A, CXCL10, IL1B, ITGAM, NOS2, NR4A1, Saa3, SOCS3, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Gm21596/Hmgb1	-0.041	transcription regulator	0	0.796	0	0.207	0.294	0.00218	AFP, CXCL12, CXCL3, IL1B, NOS2, PKM, PROM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LAMA5	0.499	other	Activated	2.449	bias	0.258	1.817	0.0023	Ccl2, CCL3L3, Ccl7, CCR1, CXCL10, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	MSR1	0.149	transmembrane receptor	0	0.152	0	-0.06	0.271	0.0023	ACOD1, CXCL10, CXCL2, CXCL3, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HOXD10	0	transcription regulator	0	0.905	0	0.023	0.827	0.00232	AGXT2, APOF, DAPP1, FCRLA, GCNT1, Gm12854/S100a11, HBEGF, MAOB, PDZK1IP1, RSAD2, SELENON
